indiv	mean_gill_score	amoebic_load
Fish_00774	3	29.08
Fish_00775	1.25	36.65
Fish_00776	1.5	35.84
Fish_00777	2.5	32.88
Fish_00778	1.5	29.56
Fish_00779	1.75	36.91
Fish_00780	3.25	30.61
Fish_00781	2.5	31.91
Fish_00782	3	29.52
Fish_00783	2.5	30.11
Fish_00784	2.75	31.67
Fish_00785	3	27.46
Fish_00786	1.5	36.35
Fish_00787	3.5	28.57
Fish_00788	3.75	31.39
Fish_00790	2.5	34.41
Fish_00791	3.75	28.5
Fish_00792	2.5	31.85
Fish_00793	3	32.35
Fish_00794	4	26.87
Fish_00795	1.25	38.78
Fish_00796	1.75	35.9
Fish_00797	1.5	37.52
Fish_00798	2.5	30.2
Fish_00799	3	30.82
Fish_00800	3.25	27.97
Fish_00801	2.5	29.05
Fish_00802	4	27.35
Fish_00803	3	30.18
Fish_00804	1.75	29.76
Fish_00806	3.5	27.15
Fish_00807	3	29.28
Fish_00808	2	29.31
Fish_00809	3	31.76
Fish_00810	3	33.39
Fish_00811	2.25	34.2
Fish_00812	3	29.43
Fish_00813	1.5	35.71
Fish_00814	1.75	34.59
Fish_00815	3	31.35
Fish_00816	1.5	35.11
Fish_00817	4.25	24.89
Fish_00818	2	30.1
Fish_00819	3.25	30.65
Fish_00820	1	35.38
Fish_00821	3.25	30.93
Fish_00822	3.25	29.65
Fish_00823	3.25	30.47
Fish_00824	1.5	32.29
Fish_00825	3	32.01
Fish_00826	3	31.1
Fish_00827	2	33.95
Fish_00828	3.25	30.32
Fish_00829	4.25	25.94
Fish_00830	2	33.53
Fish_00831	3.75	27.46
Fish_00832	1.5	37.64
Fish_00833	2.25	32.69
Fish_00834	1.5	38.35
Fish_00835	3	29.77
Fish_00836	1.5	34.25
Fish_00837	3	26.81
Fish_00838	2.5	29.18
Fish_00839	1	38.97
Fish_00840	3.5	29.53
Fish_00841	1	35.86
Fish_00842	2	32.85
Fish_00843	1.5	32.91
Fish_00844	1.5	34.75
Fish_00845	2.25	34.19
Fish_00846	2.75	27.38
Fish_00847	2	30.92
Fish_00848	2.25	37.11
Fish_00849	4.5	26.49
Fish_00850	3.75	29.24
Fish_00851	3.5	30.65
Fish_00852	4	26.12
Fish_00853	1.25	32.95
